cell.line,time.pt,drug,compound,unlabeled,labeled,,sample
MEF with Ras,24,Torin,lysine,4887.75,33209.24,,Ras_Torin_24h_04
MEF with Ras,24,Torin,lysine,5190.36,32839.24,,Ras_Torin_24h_03
MEF with Ras,24,Torin,lysine,5323.97,34434.9,,Ras_Torin_24h_02
MEF with Ras,24,Torin,lysine,5171.78,34892.19,,Ras_Torin_24h_01
MEF with Ras,16,Torin,lysine,3624.11,33496.25,,Ras_Torin_16h_03
MEF with Ras,16,Torin,lysine,4054,31369.03,,Ras_Torin_16h_02
MEF with Ras,16,Torin,lysine,4158.47,29105.4,,Ras_Torin_16h_01
MEF with Ras,24,PMA,lysine,3514.02,24703.08,,Ras_PMA_24h_04
MEF with Ras,24,PMA,lysine,4776.6,27987.31,,Ras_PMA_24h_03
MEF with Ras,24,PMA,lysine,6487.98,34127.49,,Ras_PMA_24h_02
MEF with Ras,24,PMA,lysine,5422.91,39145.45,,Ras_PMA_24h_01
MEF with Ras,16,PMA,lysine,3368.29,33556.39,,Ras_PMA_16h_03
MEF with Ras,16,PMA,lysine,3126.69,34741.55,,Ras_PMA_16h_02
MEF with Ras,16,PMA,lysine,4792.58,30966.65,,Ras_PMA_16h_01
MEF with Ras,24,PDBU,lysine,4830.41,34532.42,,Ras_PDBU_24h_03
MEF with Ras,24,PDBU,lysine,5927.74,28554.12,,Ras_PDBU_24h_02
MEF with Ras,24,PDBU,lysine,4455.84,35641.41,,Ras_PDBU_24h_01
MEF with Ras,16,PDBU,lysine,2178.58,36927.37,,Ras_PDBU_16h_03
MEF with Ras,16,PDBU,lysine,3529.06,30903.15,,Ras_PDBU_16h_02
MEF with Ras,16,PDBU,lysine,3285.45,36240.08,,Ras_PDBU_16h_01
MEF with Ras,24,No Trx,lysine,3055.06,30951.91,,Ras_NoTrx_24h_04
MEF with Ras,24,No Trx,lysine,5925.01,32514.06,,Ras_NoTrx_24h_03
MEF with Ras,24,No Trx,lysine,4348.18,34774.78,,Ras_NoTrx_24h_02
MEF with Ras,24,No Trx,lysine,9940.21,76542.06,,Ras_NoTrx_24h_01
MEF with Ras,16,No Trx,lysine,4059.62,29563.42,,Ras_NoTrx_16h_03
MEF with Ras,16,No Trx,lysine,4463.35,31971.18,,Ras_NoTrx_16h_02
MEF with Ras,16,No Trx,lysine,2517.91,39291.53,,Ras_NoTrx_16h_01
MEF no Ras,24,Torin,lysine,2543.25,29684.35,,NoRas_Torin_24h_04
MEF no Ras,24,Torin,lysine,4141.85,37078.75,,NoRas_Torin_24h_03
MEF no Ras,24,Torin,lysine,4932.73,39610.82,,NoRas_Torin_24h_02
MEF no Ras,24,Torin,lysine,4588.95,37491.7,,NoRas_Torin_24h_01
MEF no Ras,16,Torin,lysine,3957.25,36019.56,,NoRas_Torin_16h_03
MEF no Ras,16,Torin,lysine,3709.02,38501.9,,NoRas_Torin_16h_02
MEF no Ras,16,Torin,lysine,2573.23,33172.58,,NoRas_Torin_16h_01
MEF no Ras,24,PMA,lysine,4684.72,28687.69,,NoRas_PMA_24h_04
MEF no Ras,24,PMA,lysine,3174.15,26975.42,,NoRas_PMA_24h_03
MEF no Ras,24,PMA,lysine,4095.98,36948.14,,NoRas_PMA_24h_02
MEF no Ras,24,PMA,lysine,3767.25,34826.63,,NoRas_PMA_24h_01
MEF no Ras,16,PMA,lysine,2830.58,30476.41,,NoRas_PMA_16h_03
MEF no Ras,16,PMA,lysine,4626.26,39684.08,,NoRas_PMA_16h_02
MEF no Ras,16,PMA,lysine,2550.68,37050.47,,NoRas_PMA_16h_01
MEF no Ras,24,PDBU,lysine,3184.85,29513.37,,NoRas_PDBU_24h_04
MEF no Ras,24,PDBU,lysine,3512.1,30452.18,,NoRas_PDBU_24h_03
MEF no Ras,24,PDBU,lysine,2123.46,37937.14,,NoRas_PDBU_24h_02
MEF no Ras,24,PDBU,lysine,3433.79,38337.5,,NoRas_PDBU_24h_01
MEF no Ras,16,PDBU,lysine,3055.76,33904.29,,NoRas_PDBU_16h_03
MEF no Ras,16,PDBU,lysine,3112.92,38219.45,,NoRas_PDBU_16h_02
MEF no Ras,16,PDBU,lysine,3359.4,41594.72,,NoRas_PDBU_16h_01
MEF no Ras,24,No Trx,lysine,3190.11,27160.37,,NoRas_NoTrx_24h_04
MEF no Ras,24,No Trx,lysine,2102.79,37755.66,,NoRas_NoTrx_24h_03
MEF no Ras,24,No Trx,lysine,4729.48,32686.45,,NoRas_NoTrx_24h_02
MEF no Ras,24,No Trx,lysine,2855.87,28256.53,,NoRas_NoTrx_24h_01
MEF no Ras,16,No Trx,lysine,2420.49,33412.19,,NoRas_NoTrx_16h_03
MEF no Ras,16,No Trx,lysine,3376.78,38893.54,,NoRas_NoTrx_16h_02
MEF no Ras,16,No Trx,lysine,3507.46,35082.22,,NoRas_NoTrx_16h_01
common,DMEM,DMEM,lysine,116538.41,12.57,,DMEM_04
common,DMEM,DMEM,lysine,138149.97,87.01,,DMEM_03
