cell.line,time.pt,condition,pcv,cc1,cc2
WT MEFs,0,common,1.2,NA,NA
WT MEFs,0,common,1.3,NA,NA
WT MEFs,0,common,1.2,NA,NA
WT MEFs,0,common,1.2,NA,NA
KRas MEFs,0,common,1.2,NA,NA
KRas MEFs,0,common,1,NA,NA
KRas MEFs,0,common,1,NA,NA
KRas MEFs,0,common,1,NA,NA
WT MEFs,16,noTrx,2,NA,NA
WT MEFs,16,noTrx,2,NA,NA
WT MEFs,16,noTrx,2,NA,NA
WT MEFs,16,Torin1,1.6,NA,NA
WT MEFs,16,Torin1,1.6,NA,NA
WT MEFs,16,Torin1,1.6,NA,NA
WT MEFs,16,PMA,1.6,NA,NA
WT MEFs,16,PMA,1.8,NA,NA
WT MEFs,16,PMA,1.8,NA,NA
WT MEFs,16,PDBu,1.9,NA,NA
WT MEFs,16,PDBu,2,NA,NA
WT MEFs,16,PDBu,1.9,NA,NA
KRas MEFs,16,noTrx,1.6,NA,NA
KRas MEFs,16,noTrx,1.5,NA,NA
KRas MEFs,16,noTrx,1.5,NA,NA
KRas MEFs,16,Torin1,1.1,NA,NA
KRas MEFs,16,Torin1,1.2,NA,NA
KRas MEFs,16,Torin1,1.2,NA,NA
KRas MEFs,16,PMA,1.4,NA,NA
KRas MEFs,16,PMA,1.4,NA,NA
KRas MEFs,16,PMA,1.4,NA,NA
KRas MEFs,16,PDBu,1.4,NA,NA
KRas MEFs,16,PDBu,1.4,NA,NA
KRas MEFs,16,PDBu,1.4,NA,NA
WT MEFs,24,noTrx,3,1,1.3
WT MEFs,24,noTrx,3,1.2,1.3
WT MEFs,24,noTrx,3,1.1,1.2
WT MEFs,24,noTrx,3,1.2,1.2
WT MEFs,24,Torin1,2.4,1.2,1.2
WT MEFs,24,Torin1,2.5,1.5,1.4
WT MEFs,24,Torin1,2.2,2,1.5
WT MEFs,24,Torin1,2.2,1.8,1.6
WT MEFs,24,PMA,2.8,1.6,1.3
WT MEFs,24,PMA,2.6,1.9,1.5
WT MEFs,24,PMA,2.8,1.3,1.5
WT MEFs,24,PMA,2.6,2,1.7
WT MEFs,24,PDBu,2.8,2,1.9
WT MEFs,24,PDBu,2.4,2,1.7
WT MEFs,24,PDBu,3,1.6,1.2
WT MEFs,24,PDBu,3,2,1.6
KRas MEFs,24,noTrx,2.6,1,0.94
KRas MEFs,24,noTrx,2.2,0.88,0.82
KRas MEFs,24,noTrx,2,1.3,0.91
KRas MEFs,24,noTrx,2.2,1,0.98
KRas MEFs,24,Torin1,1.4,0.72,0.75
KRas MEFs,24,Torin1,1.6,0.75,0.78
KRas MEFs,24,Torin1,1.4,0.83,0.62
KRas MEFs,24,Torin1,1.5,0.86,0.67
KRas MEFs,24,PMA,1.8,0.73,0.67
KRas MEFs,24,PMA,1.6,0.78,0.68
KRas MEFs,24,PMA,1.8,0.88,0.83
KRas MEFs,24,PMA,1.8,0.76,0.69
KRas MEFs,24,PDBu,1.9,0.88,0.8
KRas MEFs,24,PDBu,1.8,0.67,0.84
KRas MEFs,24,PDBu,1.8,0.75,0.78
